id,image,label_auto,overlay,base_code,color,side,group,width,height,verdict,confidence,coverage,ensemble_iou,holes,solidity,latency_ms,occurrences,used_by_bases,source_path,md5,reason,review_status,reviewer_note,label_final,split
011_EUACCMH_bordeaux_back,images/011_EUACCMH_bordeaux_back.jpg,labels_auto/011_EUACCMH_bordeaux_back.png,overlays/011_EUACCMH_bordeaux_back.jpg,EUACCMH,bordeaux,back,EUACCMH_back,1200,1200,READY,0.9695,0.37845,0.9774,2,0.9832,1650.5,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/bordeaux-back-model.jpg,3c3119b05e00f0076206154cb069d85d,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/011_EUACCMH_bordeaux_back.png,train
012_EUACCMH_bordeaux_front,images/012_EUACCMH_bordeaux_front.jpg,labels_auto/012_EUACCMH_bordeaux_front.png,overlays/012_EUACCMH_bordeaux_front.jpg,EUACCMH,bordeaux,front,EUACCMH_front,1200,1200,READY,0.9725,0.2669,0.9912,1,0.9834,2127.9,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/bordeaux-front-model.jpg,10f969d2808d1ec3a0db454c1daf9ad3,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/012_EUACCMH_bordeaux_front.png,val
013_EUACCMH_green_back,images/013_EUACCMH_green_back.jpg,labels_auto/013_EUACCMH_green_back.png,overlays/013_EUACCMH_green_back.jpg,EUACCMH,green,back,EUACCMH_back,1200,1200,READY,0.9607,0.37834,0.9124,2,0.9832,1635.8,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/green-back-model.jpg,15181038527124e1b92df3ca35e91384,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/013_EUACCMH_green_back.png,train
014_EUACCMH_green_front,images/014_EUACCMH_green_front.jpg,labels_auto/014_EUACCMH_green_front.png,overlays/014_EUACCMH_green_front.jpg,EUACCMH,green,front,EUACCMH_front,1200,1200,READY,0.961,0.26678,0.9137,1,0.9834,2111.3,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/green-front-model.jpg,73948ad40583461674f199c9ccc91376,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/014_EUACCMH_green_front.png,val
015_EUACCMH_light-yellow_back,images/015_EUACCMH_light-yellow_back.jpg,labels_auto/015_EUACCMH_light-yellow_back.png,overlays/015_EUACCMH_light-yellow_back.jpg,EUACCMH,light-yellow,back,EUACCMH_back,1200,1200,READY,0.9609,0.37826,0.9131,2,0.9832,1620.8,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/light-yellow-back-model.jpg,51bde898dee0fa62e5aa394f9d873172,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/015_EUACCMH_light-yellow_back.png,train
016_EUACCMH_light-yellow_front,images/016_EUACCMH_light-yellow_front.jpg,labels_auto/016_EUACCMH_light-yellow_front.png,overlays/016_EUACCMH_light-yellow_front.jpg,EUACCMH,light-yellow,front,EUACCMH_front,1200,1200,READY,0.9609,0.26675,0.9133,1,0.9834,2105.9,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/light-yellow-front-model.jpg,4081900fece23ce10c84b42847851699,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/016_EUACCMH_light-yellow_front.png,val
017_EUACCMH_maroon_back,images/017_EUACCMH_maroon_back.jpg,labels_auto/017_EUACCMH_maroon_back.png,overlays/017_EUACCMH_maroon_back.jpg,EUACCMH,maroon,back,EUACCMH_back,1200,1200,READY,0.9604,0.37844,0.9131,2,0.9832,1664.0,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/maroon-back-model.jpg,4964335605bfb1bfd9b9b0dd4c899f62,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/017_EUACCMH_maroon_back.png,train
018_EUACCMH_maroon_front,images/018_EUACCMH_maroon_front.jpg,labels_auto/018_EUACCMH_maroon_front.png,overlays/018_EUACCMH_maroon_front.jpg,EUACCMH,maroon,front,EUACCMH_front,1200,1200,READY,0.961,0.26688,0.9132,1,0.9835,2098.8,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/maroon-front-model.jpg,ccd4f5eba5675c97f643c817b271e5e8,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/018_EUACCMH_maroon_front.png,val
019_EUACCMH_navy_back,images/019_EUACCMH_navy_back.jpg,labels_auto/019_EUACCMH_navy_back.png,overlays/019_EUACCMH_navy_back.jpg,EUACCMH,navy,back,EUACCMH_back,1200,1200,READY,0.9607,0.37847,0.9116,2,0.9832,1641.5,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/navy-back-model.jpg,d07533a137818fd9884120d49b84b77e,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/019_EUACCMH_navy_back.png,train
020_EUACCMH_navy_front,images/020_EUACCMH_navy_front.jpg,labels_auto/020_EUACCMH_navy_front.png,overlays/020_EUACCMH_navy_front.jpg,EUACCMH,navy,front,EUACCMH_front,1200,1200,READY,0.961,0.26689,0.9135,1,0.9835,2212.5,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/navy-front-model.jpg,e547af7a00cd56082f32a1c2665fe1e7,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/020_EUACCMH_navy_front.png,val
021_EUACCMH_orange_back,images/021_EUACCMH_orange_back.jpg,labels_auto/021_EUACCMH_orange_back.png,overlays/021_EUACCMH_orange_back.jpg,EUACCMH,orange,back,EUACCMH_back,1200,1200,READY,0.9722,0.37835,0.9834,2,0.9832,1613.1,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/orange-back-model.jpg,cc77709dab257190ab798b199ca85870,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/021_EUACCMH_orange_back.png,train
022_EUACCMH_orange_front,images/022_EUACCMH_orange_front.jpg,labels_auto/022_EUACCMH_orange_front.png,overlays/022_EUACCMH_orange_front.jpg,EUACCMH,orange,front,EUACCMH_front,1200,1200,READY,0.9806,0.26682,0.9957,1,0.9835,2145.4,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/orange-front-model.jpg,8db7e2b0ca36c301fbbbec04355ea782,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/022_EUACCMH_orange_front.png,val
023_EUACCMH_pink_back,images/023_EUACCMH_pink_back.jpg,labels_auto/023_EUACCMH_pink_back.png,overlays/023_EUACCMH_pink_back.jpg,EUACCMH,pink,back,EUACCMH_back,1200,1200,READY,0.9609,0.37832,0.913,2,0.9832,1598.8,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/pink-back-model.jpg,775afcf40501a3c0e564cb9ec034765f,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/023_EUACCMH_pink_back.png,train
024_EUACCMH_pink_front,images/024_EUACCMH_pink_front.jpg,labels_auto/024_EUACCMH_pink_front.png,overlays/024_EUACCMH_pink_front.jpg,EUACCMH,pink,front,EUACCMH_front,1200,1200,READY,0.9609,0.26679,0.9131,1,0.9834,2092.1,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/pink-front-model.jpg,88db0b27c90b4d0c4777a83177bb7928,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/024_EUACCMH_pink_front.png,val
025_EUACCMH_red_back,images/025_EUACCMH_red_back.jpg,labels_auto/025_EUACCMH_red_back.png,overlays/025_EUACCMH_red_back.jpg,EUACCMH,red,back,EUACCMH_back,1200,1200,READY,0.9607,0.37839,0.9117,2,0.9832,1722.7,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/red-back-model.jpg,935113dfbb57963f5283e964e700ac36,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/025_EUACCMH_red_back.png,train
026_EUACCMH_red_front,images/026_EUACCMH_red_front.jpg,labels_auto/026_EUACCMH_red_front.png,overlays/026_EUACCMH_red_front.jpg,EUACCMH,red,front,EUACCMH_front,1200,1200,READY,0.9609,0.26686,0.913,1,0.9835,2131.3,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/red-front-model.jpg,be37c5eefd69d2c090c64f47a7932e08,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/026_EUACCMH_red_front.png,val
027_EUACCMH_yellow_back,images/027_EUACCMH_yellow_back.jpg,labels_auto/027_EUACCMH_yellow_back.png,overlays/027_EUACCMH_yellow_back.jpg,EUACCMH,yellow,back,EUACCMH_back,1200,1200,READY,0.9607,0.3782,0.9159,2,0.9832,1685.0,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/yellow-back-model.jpg,e613c6330edb86b9c939f58e772287b2,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/027_EUACCMH_yellow_back.png,train
028_EUACCMH_yellow_front,images/028_EUACCMH_yellow_front.jpg,labels_auto/028_EUACCMH_yellow_front.png,overlays/028_EUACCMH_yellow_front.jpg,EUACCMH,yellow,front,EUACCMH_front,1200,1200,READY,0.9609,0.26672,0.9133,1,0.9834,2164.4,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/yellow-front-model.jpg,f2b0fa398b8ffb25df8a59c73efbabed,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/028_EUACCMH_yellow_front.png,val
029_EUACM15_black_back,images/029_EUACM15_black_back.jpg,labels_auto/029_EUACM15_black_back.png,overlays/029_EUACM15_black_back.jpg,EUACM15,black,back,EUACM15_back,1200,1200,READY,0.9676,0.37519,0.9838,2,0.9821,1649.2,3,EUACM15 USACM15 USGACM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACM15/black-back-model.jpg,efbdf25522000cb443f891d1135c4b81,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/029_EUACM15_black_back.png,train
030_EUACM15_black_front,images/030_EUACM15_black_front.jpg,labels_auto/030_EUACM15_black_front.png,overlays/030_EUACM15_black_front.jpg,EUACM15,black,front,EUACM15_front,1200,1200,READY,0.9718,0.25852,0.9952,1,0.9819,2161.2,3,EUACM15 USACM15 USGACM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACM15/black-front-model.jpg,0d4d321287f365e68b2e7b812de23bd7,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/030_EUACM15_black_front.png,train
031_EUACM15_white_back,images/031_EUACM15_white_back.jpg,labels_auto/031_EUACM15_white_back.png,overlays/031_EUACM15_white_back.jpg,EUACM15,white,back,EUACM15_back,1200,1200,READY,0.9456,0.36311,0.8965,2,0.9767,1635.5,3,EUACM15 USACM15 USGACM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACM15/white-back-model.jpg,faf17a781352a02fb34fd81b9172616d,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/031_EUACM15_white_back.png,train
032_EUACM15_white_front,images/032_EUACM15_white_front.jpg,labels_auto/032_EUACM15_white_front.png,overlays/032_EUACM15_white_front.jpg,EUACM15,white,front,EUACM15_front,1200,1200,READY,0.9468,0.25849,0.858,1,0.9779,2141.3,3,EUACM15 USACM15 USGACM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACM15/white-front-model.jpg,30026dd8f3a33095ac4d58ea2e29c171,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/032_EUACM15_white_front.png,train
033_EUMM_black-white_back,images/033_EUMM_black-white_back.jpg,labels_auto/033_EUMM_black-white_back.png,overlays/033_EUMM_black-white_back.jpg,EUMM,black-white,back,EUMM_back,1200,1200,REVIEW,0.9039,0.31758,0.9507,2,0.9702,2171.7,3,EUMM UKTMM11 USGAMM11,D:/TTTN/mockupgenerator/src/main/resources/mask/EUMM/black&white-back-model.jpg,f6e4fc62800af0bae48faeb0ca209f4d,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/033_EUMM_black-white_back.png,train
034_EUMM_black-white_front,images/034_EUMM_black-white_front.jpg,labels_auto/034_EUMM_black-white_front.png,overlays/034_EUMM_black-white_front.jpg,EUMM,black-white,front,EUMM_front,1200,1200,READY,0.9264,0.29473,0.9892,1,0.9723,2158.8,3,EUMM UKTMM11 USGAMM11,D:/TTTN/mockupgenerator/src/main/resources/mask/EUMM/black&white-front-model.jpg,cd4b25875fd86282a3b198203489c401,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/034_EUMM_black-white_front.png,train
035_UKTMM11_black_back,images/035_UKTMM11_black_back.jpg,labels_auto/035_UKTMM11_black_back.png,overlays/035_UKTMM11_black_back.jpg,UKTMM11,black,back,UKTMM11_back,1200,1200,READY,0.9385,0.40413,0.9909,1,0.9172,2163.7,1,UKTMM11,D:/TTTN/mockupgenerator/src/main/resources/mask/UKTMM11/black-back-model.jpg,b67c05d558f621c2144b33c8b965975a,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/035_UKTMM11_black_back.png,train
036_UKTMM11_black_front,images/036_UKTMM11_black_front.jpg,labels_auto/036_UKTMM11_black_front.png,overlays/036_UKTMM11_black_front.jpg,UKTMM11,black,front,UKTMM11_front,1200,1200,READY,0.9512,0.4046,0.9908,1,0.9183,2157.3,1,UKTMM11,D:/TTTN/mockupgenerator/src/main/resources/mask/UKTMM11/black-front-model.jpg,a5b6821c6b8e67676988a8c9b7b6bc30,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/036_UKTMM11_black_front.png,train
037_US3DAM11_black_back,images/037_US3DAM11_black_back.jpg,labels_auto/037_US3DAM11_black_back.png,overlays/037_US3DAM11_black_back.jpg,US3DAM11,black,back,US3DAM11_back,1200,1200,READY,0.9702,0.37848,0.9832,2,0.9833,1672.8,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/black-back-model.jpg,b99c2b1bbf5d9d561731a85e4fec0aeb,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/037_US3DAM11_black_back.png,train
038_US3DAM11_black_front,images/038_US3DAM11_black_front.jpg,labels_auto/038_US3DAM11_black_front.png,overlays/038_US3DAM11_black_front.jpg,US3DAM11,black,front,US3DAM11_front,1200,1200,READY,0.9609,0.26693,0.9126,1,0.9835,2161.7,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/black-front-model.jpg,844d69c56187dff25dda2eb418826965,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/038_US3DAM11_black_front.png,train
039_US3DAM11_light-blue_back,images/039_US3DAM11_light-blue_back.jpg,labels_auto/039_US3DAM11_light-blue_back.png,overlays/039_US3DAM11_light-blue_back.jpg,US3DAM11,light-blue,back,US3DAM11_back,1200,1200,READY,0.9609,0.37839,0.9121,2,0.9832,1641.2,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/lightblue-back-model.jpg,7cb2cf3ac145d96876d75c260928b50a,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/039_US3DAM11_light-blue_back.png,train
040_US3DAM11_light-blue_front,images/040_US3DAM11_light-blue_front.jpg,labels_auto/040_US3DAM11_light-blue_front.png,overlays/040_US3DAM11_light-blue_front.jpg,US3DAM11,light-blue,front,US3DAM11_front,1200,1200,READY,0.961,0.26686,0.9135,1,0.9835,2143.6,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/lightblue-front-model.jpg,c4a7a3c176f8ad9b4cfc047e3dc1bcec,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/040_US3DAM11_light-blue_front.png,train
041_US3DAM11_light-green_back,images/041_US3DAM11_light-green_back.jpg,labels_auto/041_US3DAM11_light-green_back.png,overlays/041_US3DAM11_light-green_back.jpg,US3DAM11,light-green,back,US3DAM11_back,1200,1200,READY,0.9607,0.37831,0.912,2,0.9833,1663.9,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/lightgreen-back-model.jpg,402fae27d6b4c52d85a019ab50b64ce7,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/041_US3DAM11_light-green_back.png,train
042_US3DAM11_light-green_front,images/042_US3DAM11_light-green_front.jpg,labels_auto/042_US3DAM11_light-green_front.png,overlays/042_US3DAM11_light-green_front.jpg,US3DAM11,light-green,front,US3DAM11_front,1200,1200,READY,0.9611,0.26679,0.9137,1,0.9836,2129.7,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/lightgreen-front-model.jpg,3b62d557f0111b59befb56179fe0adac,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/042_US3DAM11_light-green_front.png,train
043_US3DAM11_maroon_back,images/043_US3DAM11_maroon_back.jpg,labels_auto/043_US3DAM11_maroon_back.png,overlays/043_US3DAM11_maroon_back.jpg,US3DAM11,maroon,back,US3DAM11_back,1200,1200,READY,0.9604,0.37841,0.9127,2,0.9833,1636.5,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/maroon-back-model.jpg,082b98990db8c5287e9db51f3986e1ed,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/043_US3DAM11_maroon_back.png,train
044_US3DAM11_maroon_front,images/044_US3DAM11_maroon_front.jpg,labels_auto/044_US3DAM11_maroon_front.png,overlays/044_US3DAM11_maroon_front.jpg,US3DAM11,maroon,front,US3DAM11_front,1200,1200,READY,0.961,0.26688,0.9132,1,0.9836,2141.8,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/maroon-front-model.jpg,a09f399a3ef084cf100cab06035099bf,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/044_US3DAM11_maroon_front.png,train
045_US3DAM11_navy_back,images/045_US3DAM11_navy_back.jpg,labels_auto/045_US3DAM11_navy_back.png,overlays/045_US3DAM11_navy_back.jpg,US3DAM11,navy,back,US3DAM11_back,1200,1200,READY,0.9608,0.37844,0.9113,2,0.9833,1658.5,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/navy-back-model.jpg,00556a51975a71522d4c90c1aaee5fbe,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/045_US3DAM11_navy_back.png,train
046_US3DAM11_navy_front,images/046_US3DAM11_navy_front.jpg,labels_auto/046_US3DAM11_navy_front.png,overlays/046_US3DAM11_navy_front.jpg,US3DAM11,navy,front,US3DAM11_front,1200,1200,READY,0.961,0.2669,0.9134,1,0.9836,2149.6,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/navy-front-model.jpg,16ca54a0ac9d5d4f6d436b5be2a47fc3,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/046_US3DAM11_navy_front.png,train
047_US3DAM11_orange_back,images/047_US3DAM11_orange_back.jpg,labels_auto/047_US3DAM11_orange_back.png,overlays/047_US3DAM11_orange_back.jpg,US3DAM11,orange,back,US3DAM11_back,1200,1200,READY,0.9723,0.37832,0.9835,2,0.9833,1627.0,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/orange-back-model.jpg,be2b633d04dca79f1dd6d2448f24adf7,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/047_US3DAM11_orange_back.png,train
048_US3DAM11_orange_front,images/048_US3DAM11_orange_front.jpg,labels_auto/048_US3DAM11_orange_front.png,overlays/048_US3DAM11_orange_front.jpg,US3DAM11,orange,front,US3DAM11_front,1200,1200,READY,0.9807,0.26682,0.9958,1,0.9836,2140.9,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/orange-front-model.jpg,05c0f11a3d00dbe99d2296065bce3925,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/048_US3DAM11_orange_front.png,train
049_US3DAM11_pink_back,images/049_US3DAM11_pink_back.jpg,labels_auto/049_US3DAM11_pink_back.png,overlays/049_US3DAM11_pink_back.jpg,US3DAM11,pink,back,US3DAM11_back,1200,1200,READY,0.961,0.37829,0.9129,2,0.9833,1673.6,4,US3DAM11 US3DAM11UL USAAM11FB USGAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/US3DAM11/pink-back-model.jpg,3f890f99100ecacfe2e8c90470da93d4,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/049_US3DAM11_pink_back.png,train
